survived,pclass,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,sex_female,sex_male,embarked_C,embarked_Q,embarked_S
0,3,0.36792055349407915,2,0,0.04231498029001666,Third,man,True,,Cherbourg,no,False,False,True,True,False,False
0,3,0.22090977632571,1,0,0.034743286152731485,Third,woman,False,,Southampton,no,False,True,False,False,False,True
0,3,0.08268409148027142,4,1,0.07746484096553544,Third,child,False,,Southampton,no,False,False,True,False,False,True
0,3,0.2586076903744659,0,0,0.01522458606692728,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,1,0.610454888162855,1,0,0.1497654242623688,First,woman,False,D,Cherbourg,yes,False,True,False,True,False,False
1,2,0.35913546117114853,1,0,0.050748620223090936,Second,woman,False,,Southampton,yes,False,True,False,False,False,True
0,1,0.8115104297562202,0,1,0.1209753416358076,First,man,True,B,Cherbourg,no,False,False,True,True,False,False
1,1,0.36792055349407915,0,0,0.06929138530460494,First,man,True,C,Southampton,yes,True,False,True,False,False,True
1,2,0.2586076903744659,0,0,0.020494635090094415,Second,woman,False,,Southampton,yes,True,True,False,False,False,True
0,3,0.35285247549635584,0,0,0.014110458666029575,Third,man,True,,Cherbourg,no,True,False,True,True,False,False
1,2,0.05755214878110078,1,2,0.05416439273810667,Second,child,False,,Southampton,yes,False,True,False,False,False,True
0,3,0.1329479768786127,5,2,0.09154270340242172,Third,child,False,,Southampton,no,False,False,True,False,False,True
0,3,0.2711736617240512,0,0,0.014110458666029575,Third,man,True,,Cherbourg,no,True,False,True,True,False,False
1,1,0.4722292033174164,0,0,0.15614960068643363,First,woman,False,B,,yes,True,True,False,False,False,True
0,1,0.5601910027645137,1,0,0.16293234896625058,First,man,True,C,Southampton,no,False,False,True,False,False,True
0,3,0.04498617743151546,3,2,0.05445717323939373,Third,child,False,,Southampton,no,False,False,True,False,False,True
0,1,0.36792055349407915,0,0,0.05410739813385612,First,man,True,,Cherbourg,no,True,False,True,True,False,False
1,3,0.36792055349407915,1,1,0.029757819776815374,Third,man,True,,Cherbourg,yes,False,False,True,True,False,False
1,2,0.35913546117114853,0,0,0.020494635090094415,Second,woman,False,F,Southampton,yes,True,True,False,False,False,True
0,3,0.2334757476752953,0,0,0.015923941091001644,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,3,0.20834380497612465,4,2,0.015468569817999833,Third,woman,False,,Southampton,yes,False,True,False,False,False,True
0,3,0.32143754712239253,2,0,0.016908073949327893,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,2,0.39683337521990447,0,0,0.020494635090094415,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.19577783362653933,5,2,0.09154270340242172,Third,woman,False,,Southampton,no,False,True,False,False,False,True
0,2,0.2586076903744659,0,0,0.1434624456306609,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.32143754712239253,1,0,0.028212719478023115,Third,man,True,,Cherbourg,no,False,False,True,True,False,False
1,3,0.39683337521990447,0,0,0.11027245763075773,Third,man,True,,Southampton,yes,True,False,True,False,False,True
0,3,0.3088715757728072,0,0,0.014931805565640218,Third,man,True,F,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.015411575213749286,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,2,0.005152048253329982,0,2,0.056604230248832196,Second,child,False,,Southampton,yes,False,False,True,False,False,True
1,3,0.37170143252073384,0,0,0.024349578357040744,Third,woman,False,,Southampton,yes,True,True,False,False,False,True
0,3,0.2711736617240512,0,0,0.017566830077223785,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,3,0.35913546117114853,0,0,0.018542765081513996,Third,man,True,,Southampton,yes,True,False,True,False,False,True
1,3,0.36792055349407915,0,0,0.015200187691820024,Third,woman,False,,Queenstown,yes,True,True,False,False,True,False
0,1,0.34656948982156316,0,0,0.09193307740413781,First,man,True,,Southampton,no,True,False,True,False,False,True
1,2,0.20834380497612465,0,0,0.020494635090094415,Second,woman,False,,Southampton,yes,True,True,False,False,False,True
1,3,0.4093993465694898,3,0,0.030937139635999665,Third,woman,False,,Southampton,yes,False,True,False,False,False,True
0,3,0.19577783362653933,1,3,0.06709553154495196,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,1,0.2837396330736366,3,2,0.5133418122566507,First,woman,False,C,Southampton,yes,False,True,False,False,False,True
0,3,0.2963056044232219,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.35913546117114853,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.24604171902488062,0,0,0.015330377421392339,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.5727569741140991,1,0,0.11940564777490723,First,man,True,E,Southampton,no,False,False,True,False,False,True
0,3,0.32143754712239253,1,2,0.04015972542654215,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.7361146016587082,0,0,0.014151057562208049,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.8869062578537321,0,0,0.06764049365134761,First,man,True,A,Cherbourg,no,True,False,True,True,False,False
1,1,0.2837396330736366,0,1,0.12366716556464086,First,man,True,D,Cherbourg,yes,False,False,True,True,False,False
1,2,0.4219653179190751,0,1,0.044893010197349675,Second,woman,False,,Southampton,yes,False,True,False,False,False,True
0,2,0.4219653179190751,1,0,0.050748620223090936,Second,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.34656948982156316,0,0,0.015411575213749286,Third,woman,False,,Southampton,no,True,True,False,False,False,True
0,3,0.36792055349407915,0,0,0.015411575213749286,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.2586076903744659,0,1,0.15085515328815924,First,man,True,D,Southampton,no,False,False,True,False,False,True
0,3,0.4093993465694898,0,0,0.016891873428256675,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.4596632319678311,2,0,0.015468569817999833,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.34656948982156316,0,0,0.015411575213749286,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,3,0.2586076903744659,0,0,0.014931805565640218,Third,woman,False,,Southampton,yes,True,True,False,False,False,True
1,3,0.36792055349407915,0,0,0.015175789316712771,Third,man,True,,Southampton,yes,True,False,True,False,False,True
0,3,0.4722292033174164,0,0,0.015411575213749286,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,3,0.36792055349407915,1,0,0.04713766070721715,Third,woman,False,,Queenstown,yes,False,True,False,False,True,False
0,1,0.5853229454636844,0,0,0.10149724044618187,First,man,True,C,Southampton,no,True,False,True,False,False,True
0,3,0.17692887660216136,1,0,0.028212719478023115,Third,child,False,,Cherbourg,no,False,True,False,True,False,False
0,3,0.2711736617240512,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.24604171902488062,1,0,0.019177122834302632,Third,woman,False,,Southampton,no,False,True,False,False,False,True
0,3,0.20834380497612465,0,0,0.028220722145058292,Third,woman,False,,Cherbourg,no,True,True,False,True,False,False
0,3,0.2586076903744659,0,0,0.015468569817999833,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.8806232721789394,0,0,0.015126992566498259,Third,man,True,,Queenstown,no,True,False,True,False,True,False
0,2,0.35913546117114853,1,0,0.04098927018018883,Second,man,True,,Southampton,no,False,False,True,False,False,True
0,1,0.2963056044232219,0,1,0.4831284260198326,First,man,True,B,Cherbourg,no,False,False,True,True,False,False
0,3,0.01985423473234481,4,2,0.06104473451835265,Third,child,False,,Southampton,no,False,True,False,False,False,True
0,2,0.2586076903744659,2,0,0.1434624456306609,Second,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,2,0.40311636089469716,1,0,0.058694292654020104,Second,man,True,,Cherbourg,no,False,False,True,True,False,False
1,2,0.40311636089469716,0,0,0.025374310111545468,Second,woman,False,E,Southampton,yes,True,True,False,False,False,True
0,1,0.6732847449107816,0,1,0.15085515328815924,First,man,True,D,Southampton,no,False,False,True,False,False,True
1,3,0.14551394822819805,1,0,0.021942337075458514,Third,child,False,,Cherbourg,yes,False,False,True,True,False,False
0,3,0.36792055349407915,0,0,0.015126992566498259,Third,man,True,,Queenstown,no,True,False,True,False,True,False
1,3,0.2963056044232219,0,0,0.01393967004027879,Third,man,True,,Southampton,yes,True,False,True,False,False,True
1,3,0.36792055349407915,1,1,0.04364049521284362,Third,woman,False,F,Cherbourg,yes,False,True,False,True,False,False
0,3,0.5601910027645137,0,0,0.013614293309848433,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.4093993465694898,0,0,0.015411575213749286,Third,man,True,,Cherbourg,no,True,False,True,True,False,False
0,3,0.24604171902488062,0,0,0.013760683560491965,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.5853229454636844,1,0,0.028302115124416098,Third,woman,False,,Southampton,no,False,True,False,False,False,True
1,2,0.35913546117114853,1,0,0.050748620223090936,Second,woman,False,,Southampton,yes,False,True,False,False,False,True
0,2,0.3088715757728072,0,0,0.025374310111545468,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,2,0.2837396330736366,0,0,0.02936744577509929,Second,man,True,,Cherbourg,no,True,False,True,True,False,False
1,1,0.2334757476752953,0,2,0.051301584996521765,First,woman,False,D,Southampton,yes,False,True,False,False,False,True
0,1,0.4596632319678311,1,0,0.10364429745562033,First,man,True,C,Southampton,no,False,False,True,False,False,True
0,3,0.19577783362653933,0,0,0.01798980030808316,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.2963056044232219,0,0,0.15458810467956932,First,man,True,B,Cherbourg,no,True,False,True,True,False,False
0,3,0.36792055349407915,0,2,0.029757819776815374,Third,woman,False,,Cherbourg,no,False,True,False,True,False,False
1,3,0.2711736617240512,0,0,0.015126992566498259,Third,woman,False,,Southampton,yes,True,True,False,False,False,True
1,3,0.2963056044232219,1,0,0.030937139635999665,Third,woman,False,,Southampton,yes,False,True,False,False,False,True
0,3,0.2334757476752953,0,0,0.013175122557917838,Third,man,True,,Queenstown,no,True,False,True,False,True,False
0,2,0.22090977632571,0,0,0.022446505098674838,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,2,0.2334757476752953,1,1,0.07173122281533045,Second,man,True,,Southampton,no,False,False,True,False,False,True
1,3,0.33400351847197784,0,0,0.015216388212891242,Third,man,True,,Southampton,yes,True,False,True,False,False,True
0,3,0.10781603417944208,2,2,0.06709553154495196,Third,child,False,,Southampton,no,False,True,False,False,False,True
0,2,0.4533802462930384,0,2,0.050748620223090936,Second,man,True,F,Southampton,no,False,False,True,False,False,True
0,2,0.5224930887157577,0,0,0.025374310111545468,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,2,0.6355868308620256,0,0,0.02444717185746977,Second,man,True,,Southampton,no,True,False,True,False,False,True
1,1,0.2711736617240512,1,0,0.12999454257145598,First,woman,False,C,Southampton,yes,False,True,False,False,False,True
0,3,0.6921337019351597,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.5036441316913798,0,2,0.028302115124416098,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.014273049437744325,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.6355868308620256,0,1,0.11980421963065935,First,man,True,,Cherbourg,no,False,False,True,True,False,False
1,3,0.19577783362653933,0,0,0.015094396337354966,Third,woman,False,,Queenstown,yes,True,True,False,False,True,False
0,3,0.37170143252073384,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.016908073949327893,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,8,2,0.13575255909676825,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.5476250314149284,0,1,0.031425107138144774,Third,man,True,,Southampton,no,False,False,True,False,False,True
1,2,0.49736114601658704,0,0,0.030741952635141623,Second,woman,False,,Southampton,yes,True,True,False,False,False,True
0,3,0.32143754712239253,0,0,0.015175789316712771,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.20834380497612465,0,0,0.016908073949327893,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.007288263382759488,4,1,0.07746484096553544,Third,child,False,,Southampton,no,False,False,True,False,False,True
1,3,0.10781603417944208,0,2,0.04006213192611313,Third,child,False,,Southampton,yes,False,False,True,False,False,True
1,1,0.36792055349407915,0,1,0.10735285047192313,First,woman,False,E,Southampton,yes,False,True,False,False,False,True
0,3,0.5601910027645137,1,4,0.05445717323939373,Third,woman,False,,Southampton,no,False,True,False,False,False,True
0,1,0.36792055349407915,0,0,0.050602229972447406,First,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.34656948982156316,0,0,0.11027245763075773,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.7612465443578789,0,0,0.06538764528744409,First,man,True,B,Southampton,no,True,False,True,False,False,True
0,3,0.04498617743151546,4,1,0.05684821399990475,Third,child,False,,Queenstown,no,False,False,True,False,True,False
1,3,0.007288263382759488,1,1,0.021730754366528396,Third,child,False,,Southampton,yes,False,True,False,False,False,True
0,3,0.2586076903744659,0,0,0.015468569817999833,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.6984166876099522,0,0,0.05991421140938287,First,man,True,A,Cherbourg,no,True,False,True,True,False,False
0,3,0.22090977632571,1,1,0.015330377421392339,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.36792055349407915,3,1,0.049707687947515,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,1,0.6230208595124404,0,0,0.05604306762136532,First,woman,False,C,Cherbourg,no,True,True,False,True,False,False
0,2,0.37170143252073384,0,0,0.025374310111545468,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.4470972606182458,0,0,0.0,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,8,2,0.13575255909676825,Third,woman,False,,Southampton,no,False,True,False,False,False,True
0,2,0.36792055349407915,0,0,0.02937564362913533,Second,man,True,,Cherbourg,no,True,False,True,True,False,False
0,3,0.10781603417944208,4,2,0.06126431989431795,Third,child,False,,Southampton,no,False,False,True,False,False,True
1,2,0.007288263382759488,2,1,0.07612293033463641,Second,child,False,F,Southampton,yes,False,False,True,False,False,True
1,3,0.04498617743151546,0,2,0.04298993693898376,Third,child,False,,Southampton,yes,False,True,False,False,False,True
0,1,0.36792055349407915,0,0,0.09759350042902103,First,man,True,A,Southampton,no,True,False,True,False,False,True
1,3,0.36792055349407915,1,0,0.030253985132996517,Third,woman,False,,Queenstown,yes,False,True,False,False,True,False
1,1,0.5601910027645137,0,0,0.051822148727810165,First,man,True,,Southampton,yes,True,False,True,False,False,True
0,3,0.49736114601658704,1,1,0.030253985132996517,Third,man,True,,Queenstown,no,False,False,True,False,True,False
0,3,0.4470972606182458,0,0,0.015411575213749286,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,2,0.39683337521990447,0,0,0.025374310111545468,Second,woman,False,,Southampton,yes,True,True,False,False,False,True
0,2,0.2334757476752953,0,0,0.025374310111545468,Second,man,True,,Southampton,no,True,False,True,False,False,True
1,3,0.2334757476752953,1,0,0.015330377421392339,Third,woman,False,,Southampton,yes,False,True,False,False,False,True
1,2,0.032420206081930136,1,1,0.050748620223090936,Second,child,False,F,Southampton,yes,False,False,True,False,False,True
1,1,0.5476250314149284,0,0,0.05410739813385612,First,woman,False,B,Cherbourg,yes,True,True,False,True,False,False
1,1,0.723548630309123,0,0,0.2859895551532101,First,woman,False,B,Cherbourg,yes,True,True,False,True,False,False
0,3,0.36792055349407915,0,0,0.015126992566498259,Third,man,True,,Queenstown,no,True,False,True,False,True,False
0,3,0.5224930887157577,0,1,0.01640390592611157,Third,man,True,,Southampton,no,False,False,True,False,False,True
1,3,0.36792055349407915,0,0,0.015126992566498259,Third,woman,False,,Queenstown,yes,True,True,False,False,True,False
0,2,0.2963056044232219,0,0,0.025374310111545468,Second,woman,False,,Southampton,no,True,True,False,False,False,True
0,3,0.34656948982156316,0,0,0.018542765081513996,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,8,2,0.13575255909676825,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.4219653179190751,0,0,0.012678957201736696,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.5664739884393064,0,0,0.014102260811993537,Third,man,True,,Cherbourg,no,True,False,True,True,False,False
1,3,0.22090977632571,0,0,0.015712553569072387,Third,man,True,,Southampton,yes,True,False,True,False,False,True
0,3,0.01985423473234481,0,1,0.02042143996477265,Third,child,False,G,Southampton,no,False,True,False,False,False,True
0,3,0.39683337521990447,1,0,0.030937139635999665,Third,man,True,,Southampton,no,False,False,True,False,False,True
1,3,0.32143754712239253,0,0,0.036670757786204655,Third,man,True,,Cherbourg,yes,True,False,True,True,False,False
1,3,0.19577783362653933,0,0,0.015126992566498259,Third,woman,False,,Queenstown,yes,True,True,False,False,True,False
1,1,0.49736114601658704,0,0,0.060507970265993034,First,man,True,A,Cherbourg,yes,True,False,True,True,False,False
0,3,0.2963056044232219,0,0,0.013760683560491965,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,2,0.4345312892686604,0,0,0.04098927018018883,Second,woman,False,,Southampton,yes,True,True,False,False,False,True
0,3,0.2711736617240512,0,0,0.014151057562208049,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,2,0.37170143252073384,0,0,0.025374310111545468,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,1,0,0.015126992566498259,Third,man,True,,Queenstown,no,False,False,True,False,True,False
1,1,0.38426740387031916,1,0,0.22109807522194713,First,woman,False,D,Cherbourg,yes,False,True,False,True,False,False
1,3,0.33400351847197784,0,0,0.015468569817999833,Third,woman,False,,Southampton,yes,True,True,False,False,False,True
0,2,0.5224930887157577,1,0,0.05270049023167135,Second,man,True,,Southampton,no,False,False,True,False,False,True
1,1,0.39683337521990447,0,0,0.14891148113361488,First,woman,False,D,Cherbourg,yes,True,True,False,True,False,False
0,2,0.37170143252073384,0,0,0.020494635090094415,Second,man,True,,Southampton,no,True,False,True,False,False,True
1,3,0.19577783362653933,0,0,0.015712553569072387,Third,man,True,,Southampton,yes,True,False,True,False,False,True
0,2,0.33400351847197784,0,0,0.025374310111545468,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.6355868308620256,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.015411575213749286,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,1,0.4722292033174164,1,0,0.17566830077223786,First,man,True,C,Southampton,yes,False,False,True,False,False,True
0,3,0.2711736617240512,0,0,0.018249984580226933,Third,man,True,,Southampton,no,True,False,True,False,False,True
1,2,0.2334757476752953,0,0,0.020494635090094415,Second,man,True,,Southampton,yes,True,False,True,False,False,True
0,3,0.2523247046996733,0,0,0.014151057562208049,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,2,0.22090977632571,0,0,0.025374310111545468,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,3,1,0.049707687947515,Third,woman,False,,Southampton,no,False,True,False,False,False,True
1,1,0.4345312892686604,1,0,0.16293234896625058,First,woman,False,C,Southampton,yes,False,True,False,False,False,True
0,3,0.35913546117114853,0,0,0.015175789316712771,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,2,0.7361146016587082,0,0,0.026350245115835676,Second,man,True,,Southampton,no,True,False,True,False,False,True
1,3,0.05755214878110078,4,2,0.06126431989431795,Third,child,False,,Southampton,yes,False,True,False,False,False,True
0,2,0.2963056044232219,0,0,0.020494635090094415,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.014736618564782174,Third,woman,False,,Southampton,no,True,True,False,False,False,True
0,2,0.5476250314149284,1,0,0.050748620223090936,Second,man,True,,Southampton,no,False,False,True,False,False,True
1,2,0.09525006282985675,0,2,0.05123658772523604,Second,child,False,,Southampton,yes,False,True,False,False,False,True
0,2,0.2334757476752953,0,0,0.020494635090094415,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,2,0.4093993465694898,0,0,0.023959204355324663,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,1,0,0.028212719478023115,Third,woman,False,,Cherbourg,no,False,True,False,True,False,False
1,3,0.36792055349407915,1,0,0.030253985132996517,Third,woman,False,,Queenstown,yes,False,True,False,False,True,False
0,2,0.35913546117114853,0,0,0.020494635090094415,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.2711736617240512,0,0,0.013907073811135496,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.37170143252073384,0,0,0.014102260811993537,Third,man,True,,Cherbourg,no,True,False,True,True,False,False
0,1,0.5476250314149284,2,0,0.17566830077223786,First,man,True,C,Queenstown,no,False,False,True,False,True,False
0,3,0.3088715757728072,0,0,0.015175789316712771,Third,woman,False,,Southampton,no,True,True,False,False,False,True
1,2,0.2963056044232219,0,2,0.028302115124416098,Second,woman,False,,Southampton,yes,False,True,False,False,False,True
1,1,0.4596632319678311,1,1,0.10257896680493714,First,man,True,D,Southampton,yes,False,False,True,False,False,True
0,2,0.6732847449107816,1,0,0.050748620223090936,Second,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.014151057562208049,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.35913546117114853,1,1,0.02042143996477265,Third,woman,False,G,Southampton,no,False,True,False,False,False,True
0,1,0.7738125157074642,0,0,0.051822148727810165,First,man,True,C,Southampton,no,True,False,True,False,False,True
0,3,0.37170143252073384,1,0,0.031425107138144774,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.5099271173661725,0,2,0.039452172548431745,Third,woman,False,,Southampton,no,False,True,False,False,False,True
1,3,0.35913546117114853,0,2,0.029757819776815374,Third,woman,False,,Cherbourg,yes,False,True,False,True,False,False
